,Features
1840,"{'danceability': 0.29, 'energy': 0.337, 'key': 0, 'loudness': -12.92, 'mode': 0, 'speechiness': 0.0295, 'acousticness': 0.705, 'instrumentalness': 0.00131, 'liveness': 0.149, 'valence': 0.156, 'tempo': 96.456, 'type': 'audio_features', 'id': '58tizBbohZFxRjGNaT7Brc', 'uri': 'spotify:track:58tizBbohZFxRjGNaT7Brc', 'track_href': 'https://api.spotify.com/v1/tracks/58tizBbohZFxRjGNaT7Brc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/58tizBbohZFxRjGNaT7Brc', 'duration_ms': 174227, 'time_signature': 3}"
1841,"{'danceability': 0.624, 'energy': 0.424, 'key': 1, 'loudness': -8.237, 'mode': 1, 'speechiness': 0.24, 'acousticness': 0.286, 'instrumentalness': 0, 'liveness': 0.173, 'valence': 0.584, 'tempo': 76.671, 'type': 'audio_features', 'id': '1oGdVdYjeQvojGKDddxLQQ', 'uri': 'spotify:track:1oGdVdYjeQvojGKDddxLQQ', 'track_href': 'https://api.spotify.com/v1/tracks/1oGdVdYjeQvojGKDddxLQQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1oGdVdYjeQvojGKDddxLQQ', 'duration_ms': 206013, 'time_signature': 4}"
1842,"{'danceability': 0.59, 'energy': 0.868, 'key': 5, 'loudness': -5.832, 'mode': 0, 'speechiness': 0.048, 'acousticness': 0.0962, 'instrumentalness': 0.000322, 'liveness': 0.442, 'valence': 0.798, 'tempo': 184.348, 'type': 'audio_features', 'id': '1ot6jEe4w4hYnsOPjd3xKQ', 'uri': 'spotify:track:1ot6jEe4w4hYnsOPjd3xKQ', 'track_href': 'https://api.spotify.com/v1/tracks/1ot6jEe4w4hYnsOPjd3xKQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ot6jEe4w4hYnsOPjd3xKQ', 'duration_ms': 230640, 'time_signature': 4}"
1843,"{'danceability': 0.83, 'energy': 0.696, 'key': 2, 'loudness': -9.183, 'mode': 1, 'speechiness': 0.0714, 'acousticness': 0.00299, 'instrumentalness': 0.746, 'liveness': 0.104, 'valence': 0.98, 'tempo': 124.777, 'type': 'audio_features', 'id': '2voZ2ZCQcs5d9begULX7UY', 'uri': 'spotify:track:2voZ2ZCQcs5d9begULX7UY', 'track_href': 'https://api.spotify.com/v1/tracks/2voZ2ZCQcs5d9begULX7UY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2voZ2ZCQcs5d9begULX7UY', 'duration_ms': 125074, 'time_signature': 4}"
1844,"{'danceability': 0.345, 'energy': 0.814, 'key': 5, 'loudness': -3.0, 'mode': 1, 'speechiness': 0.0515, 'acousticness': 0.00731, 'instrumentalness': 4.89e-06, 'liveness': 0.41, 'valence': 0.447, 'tempo': 152.735, 'type': 'audio_features', 'id': '5ebF1fRVWiORoHm4xRU5WX', 'uri': 'spotify:track:5ebF1fRVWiORoHm4xRU5WX', 'track_href': 'https://api.spotify.com/v1/tracks/5ebF1fRVWiORoHm4xRU5WX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ebF1fRVWiORoHm4xRU5WX', 'duration_ms': 211867, 'time_signature': 4}"
1845,"{'danceability': 0.544, 'energy': 0.897, 'key': 3, 'loudness': -6.056, 'mode': 0, 'speechiness': 0.0471, 'acousticness': 0.241, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.647, 'tempo': 157.17, 'type': 'audio_features', 'id': '34x6hEJgGAOQvmlMql5Ige', 'uri': 'spotify:track:34x6hEJgGAOQvmlMql5Ige', 'track_href': 'https://api.spotify.com/v1/tracks/34x6hEJgGAOQvmlMql5Ige', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34x6hEJgGAOQvmlMql5Ige', 'duration_ms': 215133, 'time_signature': 4}"
1846,"{'danceability': 0.716, 'energy': 0.541, 'key': 1, 'loudness': -7.909, 'mode': 1, 'speechiness': 0.149, 'acousticness': 0.0021, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.387, 'tempo': 139.978, 'type': 'audio_features', 'id': '2bSk87AVkCIIC3Bcligq1z', 'uri': 'spotify:track:2bSk87AVkCIIC3Bcligq1z', 'track_href': 'https://api.spotify.com/v1/tracks/2bSk87AVkCIIC3Bcligq1z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2bSk87AVkCIIC3Bcligq1z', 'duration_ms': 247055, 'time_signature': 4}"
1847,"{'danceability': 0.536, 'energy': 0.567, 'key': 7, 'loudness': -7.512, 'mode': 1, 'speechiness': 0.113, 'acousticness': 0.326, 'instrumentalness': 1.87e-05, 'liveness': 0.109, 'valence': 0.433, 'tempo': 82.191, 'type': 'audio_features', 'id': '7Gi8kaILAUgjYqgdee9410', 'uri': 'spotify:track:7Gi8kaILAUgjYqgdee9410', 'track_href': 'https://api.spotify.com/v1/tracks/7Gi8kaILAUgjYqgdee9410', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7Gi8kaILAUgjYqgdee9410', 'duration_ms': 238493, 'time_signature': 4}"
1848,"{'danceability': 0.505, 'energy': 0.93, 'key': 4, 'loudness': -4.675, 'mode': 0, 'speechiness': 0.0579, 'acousticness': 0.000389, 'instrumentalness': 0.000366, 'liveness': 0.129, 'valence': 0.601, 'tempo': 134.023, 'type': 'audio_features', 'id': '2pqLwhhPPSf0z24LQwGawG', 'uri': 'spotify:track:2pqLwhhPPSf0z24LQwGawG', 'track_href': 'https://api.spotify.com/v1/tracks/2pqLwhhPPSf0z24LQwGawG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2pqLwhhPPSf0z24LQwGawG', 'duration_ms': 258133, 'time_signature': 4}"
1849,"{'danceability': 0.744, 'energy': 0.325, 'key': 3, 'loudness': -9.503, 'mode': 0, 'speechiness': 0.0642, 'acousticness': 0.358, 'instrumentalness': 1e-06, 'liveness': 0.102, 'valence': 0.128, 'tempo': 110.063, 'type': 'audio_features', 'id': '1RDLbX9L2G4zDqxXCaMJo5', 'uri': 'spotify:track:1RDLbX9L2G4zDqxXCaMJo5', 'track_href': 'https://api.spotify.com/v1/tracks/1RDLbX9L2G4zDqxXCaMJo5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RDLbX9L2G4zDqxXCaMJo5', 'duration_ms': 157021, 'time_signature': 4}"
1850,"{'danceability': 0.524, 'energy': 0.946, 'key': 11, 'loudness': -3.081, 'mode': 0, 'speechiness': 0.0395, 'acousticness': 0.00163, 'instrumentalness': 0, 'liveness': 0.242, 'valence': 0.613, 'tempo': 119.156, 'type': 'audio_features', 'id': '37sSud1ZrTpwXPGJP0dbXI', 'uri': 'spotify:track:37sSud1ZrTpwXPGJP0dbXI', 'track_href': 'https://api.spotify.com/v1/tracks/37sSud1ZrTpwXPGJP0dbXI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/37sSud1ZrTpwXPGJP0dbXI', 'duration_ms': 201267, 'time_signature': 4}"
1851,"{'danceability': 0.323, 'energy': 0.839, 'key': 1, 'loudness': -7.35, 'mode': 1, 'speechiness': 0.0503, 'acousticness': 0.315, 'instrumentalness': 0.000313, 'liveness': 0.348, 'valence': 0.543, 'tempo': 136.232, 'type': 'audio_features', 'id': '1nmZ8yqKkfooOuYvtFctDp', 'uri': 'spotify:track:1nmZ8yqKkfooOuYvtFctDp', 'track_href': 'https://api.spotify.com/v1/tracks/1nmZ8yqKkfooOuYvtFctDp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1nmZ8yqKkfooOuYvtFctDp', 'duration_ms': 227627, 'time_signature': 4}"
1852,"{'danceability': 0.589, 'energy': 0.621, 'key': 5, 'loudness': -6.902, 'mode': 0, 'speechiness': 0.0468, 'acousticness': 0.00969, 'instrumentalness': 0.00104, 'liveness': 0.181, 'valence': 0.401, 'tempo': 140.03, 'type': 'audio_features', 'id': '6jG2YzhxptolDzLHTGLt7S', 'uri': 'spotify:track:6jG2YzhxptolDzLHTGLt7S', 'track_href': 'https://api.spotify.com/v1/tracks/6jG2YzhxptolDzLHTGLt7S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jG2YzhxptolDzLHTGLt7S', 'duration_ms': 323480, 'time_signature': 4}"
1853,"{'danceability': 0.588, 'energy': 0.461, 'key': 6, 'loudness': -8.686, 'mode': 0, 'speechiness': 0.161, 'acousticness': 0.237, 'instrumentalness': 1.54e-05, 'liveness': 0.0913, 'valence': 0.659, 'tempo': 200.053, 'type': 'audio_features', 'id': '0YGQ3hZcRLC5YX7o0hdmHg', 'uri': 'spotify:track:0YGQ3hZcRLC5YX7o0hdmHg', 'track_href': 'https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg', 'duration_ms': 208573, 'time_signature': 4}"
1854,"{'danceability': 0.516, 'energy': 0.15, 'key': 1, 'loudness': -20.41, 'mode': 1, 'speechiness': 0.0272, 'acousticness': 0.13, 'instrumentalness': 0.0755, 'liveness': 0.122, 'valence': 0.206, 'tempo': 97.398, 'type': 'audio_features', 'id': '51FpzuGkRYXFgsE2zXt9av', 'uri': 'spotify:track:51FpzuGkRYXFgsE2zXt9av', 'track_href': 'https://api.spotify.com/v1/tracks/51FpzuGkRYXFgsE2zXt9av', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/51FpzuGkRYXFgsE2zXt9av', 'duration_ms': 173867, 'time_signature': 3}"
1855,"{'danceability': 0.529, 'energy': 0.608, 'key': 7, 'loudness': -7.809, 'mode': 1, 'speechiness': 0.0811, 'acousticness': 0.166, 'instrumentalness': 0.0185, 'liveness': 0.109, 'valence': 0.616, 'tempo': 125.017, 'type': 'audio_features', 'id': '1HwbgJAU9PZ7YbzKgVgoIF', 'uri': 'spotify:track:1HwbgJAU9PZ7YbzKgVgoIF', 'track_href': 'https://api.spotify.com/v1/tracks/1HwbgJAU9PZ7YbzKgVgoIF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HwbgJAU9PZ7YbzKgVgoIF', 'duration_ms': 148760, 'time_signature': 4}"
1856,"{'danceability': 0.426, 'energy': 0.949, 'key': 6, 'loudness': -3.231, 'mode': 0, 'speechiness': 0.0631, 'acousticness': 0.01, 'instrumentalness': 0.00434, 'liveness': 0.377, 'valence': 0.339, 'tempo': 122.241, 'type': 'audio_features', 'id': '7IWu3uIUIYIeafzwv582Ho', 'uri': 'spotify:track:7IWu3uIUIYIeafzwv582Ho', 'track_href': 'https://api.spotify.com/v1/tracks/7IWu3uIUIYIeafzwv582Ho', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7IWu3uIUIYIeafzwv582Ho', 'duration_ms': 217200, 'time_signature': 4}"
1857,"{'danceability': 0.464, 'energy': 0.701, 'key': 9, 'loudness': -5.943, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.0691, 'instrumentalness': 0.00182, 'liveness': 0.0766, 'valence': 0.407, 'tempo': 73.97, 'type': 'audio_features', 'id': '1G8jae4jD8mwkXdodqHsBM', 'uri': 'spotify:track:1G8jae4jD8mwkXdodqHsBM', 'track_href': 'https://api.spotify.com/v1/tracks/1G8jae4jD8mwkXdodqHsBM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1G8jae4jD8mwkXdodqHsBM', 'duration_ms': 270000, 'time_signature': 4}"
1858,"{'danceability': 0.841, 'energy': 0.504, 'key': 9, 'loudness': -7.867, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.461, 'instrumentalness': 0.000112, 'liveness': 0.101, 'valence': 0.571, 'tempo': 100.954, 'type': 'audio_features', 'id': '1OtbUHPOgOwBiQmo4rBeZz', 'uri': 'spotify:track:1OtbUHPOgOwBiQmo4rBeZz', 'track_href': 'https://api.spotify.com/v1/tracks/1OtbUHPOgOwBiQmo4rBeZz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OtbUHPOgOwBiQmo4rBeZz', 'duration_ms': 157016, 'time_signature': 4}"
1859,"{'danceability': 0.48, 'energy': 0.966, 'key': 11, 'loudness': -2.64, 'mode': 0, 'speechiness': 0.102, 'acousticness': 0.176, 'instrumentalness': 6.44e-06, 'liveness': 0.27, 'valence': 0.719, 'tempo': 172.372, 'type': 'audio_features', 'id': '6EIyZEtL8Iky8hvxje1dDE', 'uri': 'spotify:track:6EIyZEtL8Iky8hvxje1dDE', 'track_href': 'https://api.spotify.com/v1/tracks/6EIyZEtL8Iky8hvxje1dDE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6EIyZEtL8Iky8hvxje1dDE', 'duration_ms': 207667, 'time_signature': 4}"
1860,"{'danceability': 0.839, 'energy': 0.804, 'key': 1, 'loudness': -2.513, 'mode': 1, 'speechiness': 0.0329, 'acousticness': 0.0192, 'instrumentalness': 0, 'liveness': 0.331, 'valence': 0.888, 'tempo': 122.973, 'type': 'audio_features', 'id': '2oENJa1T33GJ0w8dC167G4', 'uri': 'spotify:track:2oENJa1T33GJ0w8dC167G4', 'track_href': 'https://api.spotify.com/v1/tracks/2oENJa1T33GJ0w8dC167G4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2oENJa1T33GJ0w8dC167G4', 'duration_ms': 239987, 'time_signature': 4}"
1861,"{'danceability': 0.609, 'energy': 0.798, 'key': 5, 'loudness': -4.448, 'mode': 0, 'speechiness': 0.0404, 'acousticness': 0.018, 'instrumentalness': 8.68e-06, 'liveness': 0.434, 'valence': 0.401, 'tempo': 130.034, 'type': 'audio_features', 'id': '5KeyVNymqfqac1wLDseK8v', 'uri': 'spotify:track:5KeyVNymqfqac1wLDseK8v', 'track_href': 'https://api.spotify.com/v1/tracks/5KeyVNymqfqac1wLDseK8v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5KeyVNymqfqac1wLDseK8v', 'duration_ms': 209760, 'time_signature': 4}"
1862,"{'danceability': 0.778, 'energy': 0.317, 'key': 1, 'loudness': -10.732, 'mode': 0, 'speechiness': 0.334, 'acousticness': 0.592, 'instrumentalness': 0, 'liveness': 0.0881, 'valence': 0.327, 'tempo': 140.048, 'type': 'audio_features', 'id': '6ocbgoVGwYJhOv1GgI9NsF', 'uri': 'spotify:track:6ocbgoVGwYJhOv1GgI9NsF', 'track_href': 'https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF', 'duration_ms': 178627, 'time_signature': 4}"
1863,"{'danceability': 0.681, 'energy': 0.803, 'key': 11, 'loudness': -3.664, 'mode': 0, 'speechiness': 0.0531, 'acousticness': 0.0334, 'instrumentalness': 1.38e-06, 'liveness': 0.345, 'valence': 0.744, 'tempo': 115.06, 'type': 'audio_features', 'id': '2QnE0PBovkTW5PpCgvgiu8', 'uri': 'spotify:track:2QnE0PBovkTW5PpCgvgiu8', 'track_href': 'https://api.spotify.com/v1/tracks/2QnE0PBovkTW5PpCgvgiu8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2QnE0PBovkTW5PpCgvgiu8', 'duration_ms': 211023, 'time_signature': 4}"
1864,"{'danceability': 0.607, 'energy': 0.142, 'key': 7, 'loudness': -23.455, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.843, 'instrumentalness': 0.000197, 'liveness': 0.121, 'valence': 0.305, 'tempo': 118.867, 'type': 'audio_features', 'id': '4K1imZQQ0yKtJ40vGmUajS', 'uri': 'spotify:track:4K1imZQQ0yKtJ40vGmUajS', 'track_href': 'https://api.spotify.com/v1/tracks/4K1imZQQ0yKtJ40vGmUajS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4K1imZQQ0yKtJ40vGmUajS', 'duration_ms': 220400, 'time_signature': 4}"
1865,"{'danceability': 0.525, 'energy': 0.852, 'key': 7, 'loudness': -9.519, 'mode': 1, 'speechiness': 0.222, 'acousticness': 0.731, 'instrumentalness': 5.11e-05, 'liveness': 0.218, 'valence': 0.884, 'tempo': 157.404, 'type': 'audio_features', 'id': '6FT83pFXKhDlXDsNJFAHWz', 'uri': 'spotify:track:6FT83pFXKhDlXDsNJFAHWz', 'track_href': 'https://api.spotify.com/v1/tracks/6FT83pFXKhDlXDsNJFAHWz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6FT83pFXKhDlXDsNJFAHWz', 'duration_ms': 161907, 'time_signature': 4}"
1866,"{'danceability': 0.487, 'energy': 0.518, 'key': 11, 'loudness': -13.004, 'mode': 0, 'speechiness': 0.036, 'acousticness': 0.000421, 'instrumentalness': 0.0251, 'liveness': 0.11, 'valence': 0.762, 'tempo': 170.845, 'type': 'audio_features', 'id': '4azCKNOIuNsCB98BSRBR2B', 'uri': 'spotify:track:4azCKNOIuNsCB98BSRBR2B', 'track_href': 'https://api.spotify.com/v1/tracks/4azCKNOIuNsCB98BSRBR2B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4azCKNOIuNsCB98BSRBR2B', 'duration_ms': 154800, 'time_signature': 4}"
1867,"{'danceability': 0.248, 'energy': 0.988, 'key': 2, 'loudness': -3.74, 'mode': 1, 'speechiness': 0.144, 'acousticness': 5.87e-05, 'instrumentalness': 0.84, 'liveness': 0.323, 'valence': 0.149, 'tempo': 115.301, 'type': 'audio_features', 'id': '6b6uLZsoGhObYexIxnRbIb', 'uri': 'spotify:track:6b6uLZsoGhObYexIxnRbIb', 'track_href': 'https://api.spotify.com/v1/tracks/6b6uLZsoGhObYexIxnRbIb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6b6uLZsoGhObYexIxnRbIb', 'duration_ms': 311200, 'time_signature': 4}"
1868,"{'danceability': 0.472, 'energy': 0.803, 'key': 9, 'loudness': -6.509, 'mode': 0, 'speechiness': 0.0556, 'acousticness': 0.00476, 'instrumentalness': 5.18e-05, 'liveness': 0.0788, 'valence': 0.103, 'tempo': 134.982, 'type': 'audio_features', 'id': '7BvLTfOGjYhxwbAA5CbMJ7', 'uri': 'spotify:track:7BvLTfOGjYhxwbAA5CbMJ7', 'track_href': 'https://api.spotify.com/v1/tracks/7BvLTfOGjYhxwbAA5CbMJ7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7BvLTfOGjYhxwbAA5CbMJ7', 'duration_ms': 239347, 'time_signature': 4}"
1869,"{'danceability': 0.755, 'energy': 0.695, 'key': 9, 'loudness': -5.963, 'mode': 1, 'speechiness': 0.26, 'acousticness': 0.0179, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.493, 'tempo': 128.063, 'type': 'audio_features', 'id': '2ooF4088y5L72c4YTEJQoB', 'uri': 'spotify:track:2ooF4088y5L72c4YTEJQoB', 'track_href': 'https://api.spotify.com/v1/tracks/2ooF4088y5L72c4YTEJQoB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ooF4088y5L72c4YTEJQoB', 'duration_ms': 101851, 'time_signature': 4}"
1870,"{'danceability': 0.63, 'energy': 0.711, 'key': 10, 'loudness': -9.34, 'mode': 1, 'speechiness': 0.0472, 'acousticness': 0.299, 'instrumentalness': 0, 'liveness': 0.0813, 'valence': 0.659, 'tempo': 96.912, 'type': 'audio_features', 'id': '1OppEieGNdItZbE14gLBEv', 'uri': 'spotify:track:1OppEieGNdItZbE14gLBEv', 'track_href': 'https://api.spotify.com/v1/tracks/1OppEieGNdItZbE14gLBEv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OppEieGNdItZbE14gLBEv', 'duration_ms': 167933, 'time_signature': 4}"
1871,"{'danceability': 0.641, 'energy': 0.894, 'key': 8, 'loudness': -7.41, 'mode': 1, 'speechiness': 0.0273, 'acousticness': 0.0857, 'instrumentalness': 0.009, 'liveness': 0.157, 'valence': 0.972, 'tempo': 109.823, 'type': 'audio_features', 'id': '1KsI8NEeAna8ZIdojI3FiT', 'uri': 'spotify:track:1KsI8NEeAna8ZIdojI3FiT', 'track_href': 'https://api.spotify.com/v1/tracks/1KsI8NEeAna8ZIdojI3FiT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1KsI8NEeAna8ZIdojI3FiT', 'duration_ms': 199453, 'time_signature': 4}"
1872,"{'danceability': 0.181, 'energy': 0.0775, 'key': 0, 'loudness': -35.898, 'mode': 1, 'speechiness': 0.0588, 'acousticness': 0.674, 'instrumentalness': 0.506, 'liveness': 0.0939, 'valence': 0.451, 'tempo': 115.711, 'type': 'audio_features', 'id': '1nW0lHGLpE1iQDP5Nvt3x1', 'uri': 'spotify:track:1nW0lHGLpE1iQDP5Nvt3x1', 'track_href': 'https://api.spotify.com/v1/tracks/1nW0lHGLpE1iQDP5Nvt3x1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1nW0lHGLpE1iQDP5Nvt3x1', 'duration_ms': 104114, 'time_signature': 4}"
1873,"{'danceability': 0.221, 'energy': 0.124, 'key': 10, 'loudness': -19.545, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.8, 'instrumentalness': 0.103, 'liveness': 0.316, 'valence': 0.276, 'tempo': 82.727, 'type': 'audio_features', 'id': '7ljPNANyoIDc7sL0PWaJlu', 'uri': 'spotify:track:7ljPNANyoIDc7sL0PWaJlu', 'track_href': 'https://api.spotify.com/v1/tracks/7ljPNANyoIDc7sL0PWaJlu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ljPNANyoIDc7sL0PWaJlu', 'duration_ms': 168707, 'time_signature': 4}"
1874,"{'danceability': 0.781, 'energy': 0.728, 'key': 1, 'loudness': -4.981, 'mode': 1, 'speechiness': 0.0621, 'acousticness': 0.0509, 'instrumentalness': 1.94e-06, 'liveness': 0.257, 'valence': 0.395, 'tempo': 102.99, 'type': 'audio_features', 'id': '0NTMtAO2BV4tnGvw9EgBVq', 'uri': 'spotify:track:0NTMtAO2BV4tnGvw9EgBVq', 'track_href': 'https://api.spotify.com/v1/tracks/0NTMtAO2BV4tnGvw9EgBVq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0NTMtAO2BV4tnGvw9EgBVq', 'duration_ms': 219306, 'time_signature': 4}"
1875,"{'danceability': 0.619, 'energy': 0.726, 'key': 7, 'loudness': -6.422, 'mode': 1, 'speechiness': 0.125, 'acousticness': 0.00231, 'instrumentalness': 0.766, 'liveness': 0.652, 'valence': 0.424, 'tempo': 116.966, 'type': 'audio_features', 'id': '2A3emhzbZo7eSvEUtAm3ZS', 'uri': 'spotify:track:2A3emhzbZo7eSvEUtAm3ZS', 'track_href': 'https://api.spotify.com/v1/tracks/2A3emhzbZo7eSvEUtAm3ZS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2A3emhzbZo7eSvEUtAm3ZS', 'duration_ms': 200827, 'time_signature': 4}"
1876,"{'danceability': 0.395, 'energy': 0.756, 'key': 7, 'loudness': -4.12, 'mode': 1, 'speechiness': 0.0544, 'acousticness': 1.74e-05, 'instrumentalness': 0.00665, 'liveness': 0.319, 'valence': 0.475, 'tempo': 112.092, 'type': 'audio_features', 'id': '6xXlurslWqFuyqTCBlErzX', 'uri': 'spotify:track:6xXlurslWqFuyqTCBlErzX', 'track_href': 'https://api.spotify.com/v1/tracks/6xXlurslWqFuyqTCBlErzX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xXlurslWqFuyqTCBlErzX', 'duration_ms': 304373, 'time_signature': 4}"
1877,"{'danceability': 0.727, 'energy': 0.729, 'key': 0, 'loudness': -2.99, 'mode': 1, 'speechiness': 0.326, 'acousticness': 0.171, 'instrumentalness': 0, 'liveness': 0.07, 'valence': 0.512, 'tempo': 117.932, 'type': 'audio_features', 'id': '22UDw8rSfLbUsaAGTXQ4Z8', 'uri': 'spotify:track:22UDw8rSfLbUsaAGTXQ4Z8', 'track_href': 'https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/22UDw8rSfLbUsaAGTXQ4Z8', 'duration_ms': 284733, 'time_signature': 4}"
1878,"{'danceability': 0.734, 'energy': 0.635, 'key': 5, 'loudness': -7.03, 'mode': 1, 'speechiness': 0.0816, 'acousticness': 0.0322, 'instrumentalness': 0, 'liveness': 0.0808, 'valence': 0.931, 'tempo': 96.99, 'type': 'audio_features', 'id': '6QLU1GKy2Zh2mOh2uoJ0TV', 'uri': 'spotify:track:6QLU1GKy2Zh2mOh2uoJ0TV', 'track_href': 'https://api.spotify.com/v1/tracks/6QLU1GKy2Zh2mOh2uoJ0TV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6QLU1GKy2Zh2mOh2uoJ0TV', 'duration_ms': 216360, 'time_signature': 4}"
1879,"{'danceability': 0.476, 'energy': 0.584, 'key': 10, 'loudness': -12.357, 'mode': 1, 'speechiness': 0.038, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.274, 'valence': 0.417, 'tempo': 88.026, 'type': 'audio_features', 'id': '2UKkLqST2xWpK8n1b0Xr5Z', 'uri': 'spotify:track:2UKkLqST2xWpK8n1b0Xr5Z', 'track_href': 'https://api.spotify.com/v1/tracks/2UKkLqST2xWpK8n1b0Xr5Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2UKkLqST2xWpK8n1b0Xr5Z', 'duration_ms': 255467, 'time_signature': 4}"
1880,"{'danceability': 0.694, 'energy': 0.951, 'key': 5, 'loudness': -5.4, 'mode': 0, 'speechiness': 0.0784, 'acousticness': 0.0523, 'instrumentalness': 0.00338, 'liveness': 0.293, 'valence': 0.74, 'tempo': 120.014, 'type': 'audio_features', 'id': '2D1uFfnp5ylRPNYbdEa5Kv', 'uri': 'spotify:track:2D1uFfnp5ylRPNYbdEa5Kv', 'track_href': 'https://api.spotify.com/v1/tracks/2D1uFfnp5ylRPNYbdEa5Kv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2D1uFfnp5ylRPNYbdEa5Kv', 'duration_ms': 215307, 'time_signature': 4}"
1881,"{'danceability': 0.719, 'energy': 0.764, 'key': 1, 'loudness': -3.231, 'mode': 1, 'speechiness': 0.035, 'acousticness': 0.00165, 'instrumentalness': 4.08e-05, 'liveness': 0.361, 'valence': 0.961, 'tempo': 124.05, 'type': 'audio_features', 'id': '36kPoK0FNjoY7Ncw5PdEJL', 'uri': 'spotify:track:36kPoK0FNjoY7Ncw5PdEJL', 'track_href': 'https://api.spotify.com/v1/tracks/36kPoK0FNjoY7Ncw5PdEJL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/36kPoK0FNjoY7Ncw5PdEJL', 'duration_ms': 198093, 'time_signature': 4}"
1882,"{'danceability': 0.512, 'energy': 0.255, 'key': 0, 'loudness': -15.867, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.88, 'instrumentalness': 0.532, 'liveness': 0.146, 'valence': 0.215, 'tempo': 115.144, 'type': 'audio_features', 'id': '7LZgdL0MxiElfaKZbuuE4l', 'uri': 'spotify:track:7LZgdL0MxiElfaKZbuuE4l', 'track_href': 'https://api.spotify.com/v1/tracks/7LZgdL0MxiElfaKZbuuE4l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7LZgdL0MxiElfaKZbuuE4l', 'duration_ms': 253560, 'time_signature': 3}"
