,Features
10,"{'danceability': 0.315, 'energy': 0.861, 'key': 7, 'loudness': -5.292, 'mode': 1, 'speechiness': 0.0377, 'acousticness': 0.281, 'instrumentalness': 0.295, 'liveness': 0.266, 'valence': 0.417, 'tempo': 165.644, 'type': 'audio_features', 'id': '13uyMAetJNWMWJamO4aynQ', 'uri': 'spotify:track:13uyMAetJNWMWJamO4aynQ', 'track_href': 'https://api.spotify.com/v1/tracks/13uyMAetJNWMWJamO4aynQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/13uyMAetJNWMWJamO4aynQ', 'duration_ms': 236773, 'time_signature': 3}"
11,"{'danceability': 0.475, 'energy': 0.385, 'key': 5, 'loudness': -9.966, 'mode': 0, 'speechiness': 0.028, 'acousticness': 0.386, 'instrumentalness': 0.00348, 'liveness': 0.0968, 'valence': 0.0845, 'tempo': 99.997, 'type': 'audio_features', 'id': '2fOs1YeQPjNEIZgLbI80h5', 'uri': 'spotify:track:2fOs1YeQPjNEIZgLbI80h5', 'track_href': 'https://api.spotify.com/v1/tracks/2fOs1YeQPjNEIZgLbI80h5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fOs1YeQPjNEIZgLbI80h5', 'duration_ms': 323947, 'time_signature': 4}"
12,"{'danceability': 0.652, 'energy': 0.748, 'key': 0, 'loudness': -5.242, 'mode': 1, 'speechiness': 0.0887, 'acousticness': 0.0849, 'instrumentalness': 0, 'liveness': 0.604, 'valence': 0.652, 'tempo': 94.1, 'type': 'audio_features', 'id': '1z6WtY7X4HQJvzxC4UgkSf', 'uri': 'spotify:track:1z6WtY7X4HQJvzxC4UgkSf', 'track_href': 'https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf', 'duration_ms': 267413, 'time_signature': 4}"
13,"{'danceability': 0.607, 'energy': 0.682, 'key': 7, 'loudness': -7.372, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.31, 'instrumentalness': 0, 'liveness': 0.0784, 'valence': 0.266, 'tempo': 88.113, 'type': 'audio_features', 'id': '4NrVyLEvww146RMv0sWlRg', 'uri': 'spotify:track:4NrVyLEvww146RMv0sWlRg', 'track_href': 'https://api.spotify.com/v1/tracks/4NrVyLEvww146RMv0sWlRg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4NrVyLEvww146RMv0sWlRg', 'duration_ms': 231760, 'time_signature': 4}"
14,"{'danceability': 0.534, 'energy': 0.721, 'key': 11, 'loudness': -7.307, 'mode': 0, 'speechiness': 0.0417, 'acousticness': 0.0343, 'instrumentalness': 6.24e-06, 'liveness': 0.115, 'valence': 0.225, 'tempo': 128.978, 'type': 'audio_features', 'id': '1UqhkbzB1kuFwt2iy4h29Q', 'uri': 'spotify:track:1UqhkbzB1kuFwt2iy4h29Q', 'track_href': 'https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q', 'duration_ms': 249520, 'time_signature': 3}"
15,"{'danceability': 0.462, 'energy': 0.91, 'key': 1, 'loudness': -7.198, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 8.58e-05, 'instrumentalness': 0.0469, 'liveness': 0.0863, 'valence': 0.616, 'tempo': 155.69, 'type': 'audio_features', 'id': '5he7AYCR3MGloRnuWEMroT', 'uri': 'spotify:track:5he7AYCR3MGloRnuWEMroT', 'track_href': 'https://api.spotify.com/v1/tracks/5he7AYCR3MGloRnuWEMroT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5he7AYCR3MGloRnuWEMroT', 'duration_ms': 214907, 'time_signature': 4}"
16,"{'danceability': 0.741, 'energy': 0.29, 'key': 5, 'loudness': -13.251, 'mode': 1, 'speechiness': 0.0302, 'acousticness': 0.294, 'instrumentalness': 0.118, 'liveness': 0.0924, 'valence': 0.443, 'tempo': 93.699, 'type': 'audio_features', 'id': '3fbnbn6A5O5RNb08tlUEgd', 'uri': 'spotify:track:3fbnbn6A5O5RNb08tlUEgd', 'track_href': 'https://api.spotify.com/v1/tracks/3fbnbn6A5O5RNb08tlUEgd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3fbnbn6A5O5RNb08tlUEgd', 'duration_ms': 195080, 'time_signature': 4}"
17,"{'danceability': 0.617, 'energy': 0.84, 'key': 4, 'loudness': -4.063, 'mode': 1, 'speechiness': 0.0512, 'acousticness': 0.36, 'instrumentalness': 8.85e-05, 'liveness': 0.179, 'valence': 0.57, 'tempo': 94.676, 'type': 'audio_features', 'id': '3LI4MmibTkXH5cGpCGZgyw', 'uri': 'spotify:track:3LI4MmibTkXH5cGpCGZgyw', 'track_href': 'https://api.spotify.com/v1/tracks/3LI4MmibTkXH5cGpCGZgyw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3LI4MmibTkXH5cGpCGZgyw', 'duration_ms': 241840, 'time_signature': 4}"
18,"{'danceability': 0.446, 'energy': 0.97, 'key': 9, 'loudness': -5.004, 'mode': 0, 'speechiness': 0.0508, 'acousticness': 0.00754, 'instrumentalness': 0.000275, 'liveness': 0.199, 'valence': 0.595, 'tempo': 94.233, 'type': 'audio_features', 'id': '4sAjWbPq6iSI6I0Ovr9CkY', 'uri': 'spotify:track:4sAjWbPq6iSI6I0Ovr9CkY', 'track_href': 'https://api.spotify.com/v1/tracks/4sAjWbPq6iSI6I0Ovr9CkY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4sAjWbPq6iSI6I0Ovr9CkY', 'duration_ms': 363587, 'time_signature': 4}"
19,"{'danceability': 0.421, 'energy': 0.476, 'key': 0, 'loudness': -7.692, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.268, 'instrumentalness': 0, 'liveness': 0.0816, 'valence': 0.3, 'tempo': 169.784, 'type': 'audio_features', 'id': '0p1BcEcYVO3uk4KDf3gzkY', 'uri': 'spotify:track:0p1BcEcYVO3uk4KDf3gzkY', 'track_href': 'https://api.spotify.com/v1/tracks/0p1BcEcYVO3uk4KDf3gzkY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0p1BcEcYVO3uk4KDf3gzkY', 'duration_ms': 228840, 'time_signature': 4}"
